ID,TimeControl,Date,ECO,Color,Result,OpponentGlicko,UserGlicko,termination
eNEaKpHt,900+10,2025-07-05,C55,White,Win,1031,1057,Normal
rnh5bRrJ,900+10,2025-06-30,B01,White,Win,1007,1043,Normal
PUIMGRwj,900+10,2025-06-30,C68,Black,Win,971,1030,Normal
7Ir4QrSD,900+10,2025-06-30,C11,White,Win,1040,1012,Normal
Y8wDGPkX,600+5,2025-06-29,B11,White,Win,925,997,Normal
Dg8GQDDG,600+5,2025-06-29,A40,Black,Loss,1025,1015,Normal
IcZWgSzr,600+5,2025-06-29,D02,Black,Loss,1130,1029,Normal
uXsg0997,600+5,2025-06-29,C50,White,Loss,1062,1048,Normal
6hJ0N73E,600+5,2025-06-29,C57,Black,Loss,1159,1063,Normal
j5wxmMat,600+5,2025-06-29,C40,White,Loss,978,1094,Normal
8UVzGnhD,600+5,2025-06-29,C50,White,Win,1081,1069,Normal
gHdnt9N4,600+5,2025-06-29,C50,White,Loss,996,1102,Normal
oB8TGylL,600+5,2025-06-29,D05,Black,Loss,1016,1139,Normal
bAjveQWM,600+5,2025-06-29,B01,White,Win,1020,1117,Normal
FolI3EvU,600+5,2025-06-29,C57,Black,Loss,1201,1145,Normal
JZXwvcqc,600+5,2025-06-29,D00,Black,Loss,1259,1171,Normal
FLpjCh9M,600+5,2025-06-29,A00,Black,Win,986,1149,Time forfeit
z5gJoa0O,600+5,2025-06-29,C11,White,Win,992,1120,Normal
yNEWiPqD,600+5,2025-06-29,C50,Black,Loss,1148,1166,Normal
H32d6nar,600+5,2025-06-29,C57,Black,Loss,1339,1200,Normal
6TVWq2tF,600+5,2025-06-29,C46,Black,Loss,1334,1249,Normal
xZsNpHNi,600+5,2025-06-29,C47,White,Win,1161,1176,Normal
WeMdshOs,900+10,2024-02-06,C02,White,Win,1169,1153,Normal
5enx5EpK,900+10,2024-01-27,C20,Black,Win,1100,1136,Normal
Aiqh6Lfo,900+10,2024-01-23,C50,White,Win,1095,1116,Normal
82ArDrFR,900+10,2024-01-16,B02,Black,Win,1094,1094,Normal
nUz6Kn61,900+10,2024-01-16,C47,White,Loss,1089,1119,Normal
csnE5Y1k,900+10,2024-01-15,B01,White,Win,1054,1097,Normal
FeDxaMot,900+10,2024-01-15,D00,Black,Loss,997,1133,Normal
SLRLTVgP,900+10,2024-01-15,C20,Black,Loss,1148,1163,Normal
ikU1y5xx,900+10,2024-01-15,C22,Black,Win,1120,1133,Normal
KAd2i88q,900+10,2024-01-08,C41,White,Win,1184,1091,Normal
cD6rC11z,900+10,2024-01-08,C46,White,Loss,1160,1123,Normal
